                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.51205,                0.46227,                 1.0781,                0.88167,                0.92037,                 0.9355,                0.81931,                 0.6338,                0.50016,                 1.0561,               0.001189,               0.001189,               0.001189
                     91,                0.50293,                0.45332,                 1.0716,                0.85015,                0.94138,                0.94033,                0.82814,                0.62276,                0.51002,                 1.0453,                0.00109,                0.00109,                0.00109
                     92,                0.49931,                0.45473,                 1.0649,                0.87099,                0.92063,                 0.9487,                0.83372,                0.61519,                0.51045,                 1.0553,               0.000991,               0.000991,               0.000991
                     93,                0.49779,                0.44169,                 1.0669,                0.82676,                0.95152,                0.94211,                 0.8307,                0.63438,                0.51332,                 1.0579,               0.000892,               0.000892,               0.000892
                     94,                0.49352,                0.43447,                 1.0566,                0.85286,                0.94929,                0.94138,                0.82733,                0.63098,                0.49202,                  1.064,               0.000793,               0.000793,               0.000793
                     95,                0.49434,                0.43984,                  1.059,                0.88102,                0.92593,                0.93936,                0.82514,                   0.61,                0.48194,                 1.0532,               0.000694,               0.000694,               0.000694
                     96,                0.48441,                0.43092,                 1.0599,                0.85725,                0.94163,                0.94229,                0.83092,                 0.6235,                0.49814,                  1.049,               0.000595,               0.000595,               0.000595
                     97,                0.49157,                0.43157,                 1.0631,                0.86831,                0.92781,                 0.9456,                0.83651,                0.63177,                 0.4959,                 1.0574,               0.000496,               0.000496,               0.000496
                     98,                0.48522,                0.42855,                 1.0563,                0.87563,                0.92101,                0.93831,                0.82488,                0.63488,                 0.5001,                 1.0664,               0.000397,               0.000397,               0.000397
                     99,                0.47052,                0.41895,                 1.0462,                0.88889,                0.91693,                0.95185,                0.84226,                0.62463,                0.49567,                 1.0633,               0.000298,               0.000298,               0.000298
                    100,                 0.4841,                0.42914,                 1.0613,                0.88361,                0.92131,                0.95149,                0.84106,                0.62413,                0.49129,                 1.0632,               0.000199,               0.000199,               0.000199
